name,id,category,url,include?,Twitter page,stats,stats_type
A.J. Klein,120578461444970,Athlete,http://facebook.com/120578461444970,N,,1511,Y
Aaron Brackett,169056606481397,Public Figure,http://facebook.com/169056606481397,Y,https://twitter.com/Aaron_Brackett,473,N
Aaron Gilchrist,99145336302,Journalist,http://facebook.com/99145336302,Y,https://twitter.com/nbcaaron,1531,Twitter
Aarón Sánchez,106075582777270,Chef,http://facebook.com/106075582777270,Y,https://twitter.com/Chef_Aaron,,
Abby Huntsman,382496035168964,Public Figure,http://facebook.com/382496035168964,N,,,
ABC13-Christine Dobbyn,149105561803589,Journalist,http://facebook.com/149105561803589,Y,https://twitter.com/ChristineDobbyn,,
ABC13-Dave Ward,469939783076025,Journalist,http://facebook.com/469939783076025,Y,https://twitter.com/DaveWardABC13,,
ABC13-David Nuno,577962968896719,Journalist,http://facebook.com/577962968896719,Y,https://twitter.com/DavidNunoABC13,,
ABC13-Deborah Wrigley,180835305266016,Journalist,http://facebook.com/180835305266016,Y,https://twitter.com/wrigleyABC13,,
ABC13-Elissa Rivas,111969115538039,Journalist,http://facebook.com/111969115538039,Y,https://twitter.com/ElissaRivasTV,,
ABC13-Erik Barajas,170554399634675,Journalist,http://facebook.com/170554399634675,Y,https://twitter.com/ErikOnTV,,
ABC13-Gina Gaston,149855868396237,Journalist,http://facebook.com/149855868396237,Y,https://twitter.com/GinaGaston13,,
ABC13-Ilona Carson,165282483508091,Journalist,http://facebook.com/165282483508091,Y,https://twitter.com/IlonaOnTV,,
ABC13-Jeff Ehling,134301846626811,Journalist,http://facebook.com/134301846626811,Y,https://twitter.com/JeffEhlingABC13,,
ABC13-Kevin Quinn,136195649769157,Journalist,http://facebook.com/136195649769157,Y,https://twitter.com/imkevinquinn,,
ABC13-Mayra Moreno,811971338915056,Journalist,http://facebook.com/811971338915056,Y,https://twitter.com/MayraMorenoTV,,
ABC13-Melanie Lawson,193522977330330,Journalist,http://facebook.com/193522977330330,Y,https://twitter.com/MelanieLawson13,,
ABC13-Patricia Lopez,177870648918855,Journalist,http://facebook.com/177870648918855,Y,https://twitter.com/PatriciaOnTV,,
ABC13-Samica Knight,179686955403530,Journalist,http://facebook.com/179686955403530,Y,https://twitter.com/SamicaKnight13,,
ABC13-Tom Koch,615345071825611,Journalist,http://facebook.com/615345071825611,Y,https://twitter.com/tomkochnews,,
ABC7 Erin Hawksworth,739165906190088,News Personality,http://facebook.com/739165906190088,Y,https://twitter.com/ABC7Erin,,
ABC7 Kidd O'Shea,730032187101180,News Personality,http://facebook.com/730032187101180,Y,https://twitter.com/ABC7Kidd,,
Abner Euresti KCBD,159055507508063,Journalist,http://facebook.com/159055507508063,Y,https://twitter.com/AbnerEuresti11,,
Abraham-Hicks,215367971923199,Author,http://facebook.com/215367971923199,Y,https://twitter.com/AbrahamHicks,,
Adam Aaro,107976362685282,News Personality,http://facebook.com/107976362685282,Y,https://twitter.com/AdamFox45Now,,
Adam Clements Local 12 News,177447309095657,Journalist,http://facebook.com/177447309095657,Y,https://twitter.com/AClementsWKRC,,
Adam Ferrara,17576034955,Public Figure,http://facebook.com/17576034955,N,,,
