name,id
Aaron Brackett,169056606481397
Aaron Gilchrist,99145336302
Aarón Sánchez,106075582777270
ABC13-Christine Dobbyn,149105561803589
ABC13-Dave Ward,469939783076025
ABC13-David Nuno,577962968896719
ABC13-Deborah Wrigley,180835305266016
ABC13-Elissa Rivas,111969115538039
ABC13-Erik Barajas,170554399634675
ABC13-Gina Gaston,149855868396237
ABC13-Ilona Carson,165282483508091
ABC13-Jeff Ehling,134301846626811
ABC13-Kevin Quinn,136195649769157
ABC13-Mayra Moreno,811971338915056
ABC13-Melanie Lawson,193522977330330
ABC13-Patricia Lopez,177870648918855
ABC13-Samica Knight,179686955403530
ABC13-Tom Koch,615345071825611
ABC7 Erin Hawksworth,739165906190088
ABC7 Kidd O'Shea,730032187101180
Abner Euresti KCBD,159055507508063
Abraham-Hicks,215367971923199
Adam Aaro,107976362685282
Adam Clements Local 12 News,177447309095657
Adam Longo TV,152422371453274
Adam Schefter,103603076359009
Adam Slinger,308526477688
Adrianne Bradshaw Live 5 News,302133243316809
Adrienne Alpert,325516370826448
Aiden Leslie,10585731876
Ainsley Earhardt,74395786374
Aiyana Cristal,499383590210177
AJ Ross,233563633401361
AJ Smith,171288751396
Al Conklin,174732209269214
Alan Krashesky ABC7,159577180859078
Alan Lee,170027526353983
Alderman Ameya Pawar,157050574354851
Alex Denis,181496361981983
Alex Guarnaschelli,154163310815
Alex Holley FOX 29,153110221435667
Alex Liggitt,1594729454138404
Alex Wallace,259322238268
Alexandra Bahou,118663448344536
Alexandra Limon FOX 5 DC,423504294501667
Alexandra Wilson,445478968828842
Alexis Smith,255064231299627
Alice Gainer,339397112610
Alicia Barnes,102570793596
Alicia Malone,1136302953048619
Alicia Roman,199002843502359
Alicia Smith,265192076283
Alisha Ebrahimji,827729283950822
Alison Grande,244106802444490
Alison Kent - Mica Stone,128632070585586
Alison Starling,209086245783788
Alissa Henry,1431001740495557
Alissa Reitmeier,384994478195646
Allen West,22067606728
Allie Mac Kay,101592676559400
Allison Latos,1941151582692956
Allison Rodriguez,549615718446985
Allison Rosati,131732280211253
Alyse Eady,206108216079355
Alysha Del Valle,1552589461641275
Alyssa Carson,571963976230324
Alyssa Orange,257164827628244
Amanda Cox FOX 46,209095482543224
Amanda Guerra,155045381271743
Amanda Venegas Abc30 Action News,375116919222325
Amber Jayanth,110815999046108
Amber Lee,554950514532513
Amber O'Brien,224189080956888
Amber Rupinta WTVD,116269145149935
Ambika Anand,19719875916
Amelia Rose Earhart,158131920879331
amy aiello photography,10720871199
Amy Andrews FOX 2,160713977347438
Amy Aubert ABC7 News,292011210912155
Amy Clancy,112493458858673
Amy Freeze,295144330515368
Amy Hawley,212412265585818
Amy Hollyfield,195556077139684
Amy Lutz,399399333452851
Amy Powell,1465896676990850
Amy Robach,575794959185480
Amy Sweezey,521296377997360
Ana Belaval,122167384485168
Ana Cabrera,484176918261401
Anchor Eric Weisfeld,154463907926286
Andre Agassi,201866934318
Andre Hepkins WBAL,133013750111054
Andrea Cambern,262075275847
Andrea Grymes,560968277260495
Andrea Isom,191645190857452
Andrea Robinson FOX 10,148117881896213
Andrea Tantaros,659455690742322
Andrew Buck Michael,387943957898080
Andrew Freiden NBC12,172716696103329
Andrew Freund,192840367395219
Andrew Harrison WJTV,1393887777511112
Andrew Horansky WKYC,371200709582047
Andrew Humphrey,288427285122
Andrew J. Ginther,1571532933060198
Andrew Whitman,365608923514918
Angela Brauer,152957138101359
Angela Chen,1486738384948630
Angela Davis Motivational Coach,1409663249284592
Angela Ganote,144055746963
Angela Kocherga Border Reporter,253063001473717
Angelica Thornton KATU,223649964433340
Angie Martinez,147547972867
Anita Padilla Fox 32 Chicago,266988400111227
Anita Roman Fox 10,200935240049808
Anjelah Johnson,242122133568
Ann Marie LaFlamme,440653956021225
Ann Voskamp,324577877554393
Anna Canzano,135287959882469
Anna Laurel WTVD,322595574508052
Anna Saccone,144056540730
Anna-Lysa Gayle,232020850271150
Anne Elise Parks,453400931460733
Anne Imanuel,157825207562830
Anne McNamara,234858603218534
Anne-Marie Green,69882979131
Annie Sabo,399338763591190
Anthony DiLorenzo,112868912100807
Anthony Flores ABC7,802452449766760
Anthony Ponce,129934403731816
Anthony Yanez,100221636690410
Antoinette Antonio,180596941962804
Antwan Lewis Fox 5 News,511994192179178
April Dovorany,413354972023138
April Simpson TV,172154742797979
Araksya Karapetyan,102700043196979
Ari Shapiro,197797253591509
Arianna Huffington,17893008278
Ariel Plasencia WITN,1470904299889047
Armando Montelongo,59330303988
Art Rascon,102095653211961
Ashlee Baracy,181583985220718
Ashleigh Banfield,134954519756
Ashleigh Barry,142000745833350
Ashleigh Walters,298437363634951
Ashley Batey Meteorologist,170356746364745
Ashley Blackstone ABC News 4,181319875258463
