name	id	category  url
Julie Kramer	466896256668273	Author	http://facebook.com/466896256668273
Phil Lipof	802845313141599	News Personality	http://facebook.com/802845313141599
Peggy Bunker	1079485892075077	Journalist	http://facebook.com/1079485892075077
Laura Garcia Cannon	427583733952709	Journalist	http://facebook.com/427583733952709
Stephanie Chuang	189383104414761	Journalist	http://facebook.com/189383104414761
Dave Huddleston	73282863973	News Personality	http://facebook.com/73282863973
Melody Gonzales	1574490369484680	Journalist	http://facebook.com/1574490369484680
Kaitlyn Pratt FOX 5	314674371909931	Journalist	http://facebook.com/314674371909931
Ian Cull	455799834434178	Journalist	http://facebook.com/455799834434178
Caroline Lowe TV	373295472765702	Journalist	http://facebook.com/373295472765702
Amy Hollyfield	195556077139684	News Personality	http://facebook.com/195556077139684
Liz Claman	131525236916137	News Personality	http://facebook.com/131525236916137
Bob Redell	115656228523079	Journalist	http://facebook.com/115656228523079
Stephen Stock • Investigative Reporter	147547805294455	News Personality	http://facebook.com/147547805294455
Jean Elle	161158520616989	Journalist	http://facebook.com/161158520616989
Raj Mathai	203206913055203	Journalist	http://facebook.com/203206913055203
Elyce Kirchner	175153509206447	Journalist	http://facebook.com/175153509206447
Jessica Aguirre	152412204826968	News Personality	http://facebook.com/152412204826968
Jon Kelley	250561034957196	News Personality	http://facebook.com/250561034957196
Laura Behnke	137710766254575	News Personality	http://facebook.com/137710766254575
Marla Tellez	170168949710456	News Personality	http://facebook.com/170168949710456
Janelle Wang	136009823148851	Journalist	http://facebook.com/136009823148851
George Kiriyama, Broadcast Journalist	170585482998021	Journalist	http://facebook.com/170585482998021
Vicky Nguyen	120681771344158	Journalist	http://facebook.com/120681771344158
Christina Loren	209721752381473	News Personality	http://facebook.com/209721752381473
Rob Mayeda NBC Bay Area	173319986056127	News Personality	http://facebook.com/173319986056127
Chris May	59787571858	News Personality	http://facebook.com/59787571858
Scott Budman	230421145029	Journalist	http://facebook.com/230421145029
Mike Inouye	60989440165	News Personality	http://facebook.com/60989440165
Kris Sanchez NBC Bay Area	188097847886856	Journalist	http://facebook.com/188097847886856
Cory Marshall	119314614790209	Journalist	http://facebook.com/119314614790209
Ben Bailey	196072710415893	News Personality	http://facebook.com/196072710415893
Local 4 Karen Drew	113337845367554	Public Figure	http://facebook.com/113337845367554
Robin Murdoch Fox 2	1418642068369269	News Personality	http://facebook.com/1418642068369269
Foodbeast	171981399280	News Personality	http://facebook.com/171981399280
Shannon Murphy (Mojo In The Morning)	161601070521135	Public Figure	http://facebook.com/161601070521135
Ron Savage	431953323519514	Journalist	http://facebook.com/431953323519514
Amy Andrews FOX 2	160713977347438	News Personality	http://facebook.com/160713977347438
Maurielle Lue Fox 2 News	173623886069327	News Personality	http://facebook.com/173623886069327
Derek Kevra Fox 2	220844888095581	News Personality	http://facebook.com/220844888095581
