screen_name,id
Aaron_Brackett,34777103
nbcaaron,235216696
Chef_Aaron,58816328
ChristineDobbyn,367948574
DaveWardABC13,1392493334
DavidNunoABC13,946940904
wrigleyABC13,930881114
ElissaRivasTV,289870616
ErikOnTV,1283828412
GinaGaston13,1283718055
IlonaOnTV,1283927894
JeffEhlingABC13,19681358
imkevinquinn,16349724
MayraMorenoTV,452437890
MelanieLawson13,360714671
PatriciaOnTV,25397954
SamicaKnight13,1210273100
tomkochnews,1283910842
ABC7Erin,21369113
ABC7Kidd,21036972
AbnerEuresti11,3091465013
AbrahamHicks,15815795
AdamFox45Now,791931840
AClementsWKRC,1686693289
adamlongoTV,20433493
AdamSchefter,51263592
SlingerWSYX6,84927367
abc7adrienne,471291013
aidenleslie,22996057
ainsleyearhardt,186646579
aiyanacristal,344980156
AJRossABC7,119196226
_AJ_Smith,76985238
AlConklin,370669423
KrasheskyABC7,19037423
AlanLLee,163738577
Alderman_Pawar,278770101
AlexDenisTV,249790861
guarnaschelli,36980342
AlexHolleyFOX29,164336339
ABC7Alex,172851165
TWCAlexWallace,56832765
alexabahou,20779619
AlexandraFox5DC,613491892
TWCAlexWilson,1278282558
AlexisABC7,43976002
GainerTV,63539017
AliciaBarnesTV,43029454
aliciamalone,18885997
AliciaRomanNBC,388478631
wxyzalicia,108343240
AlishaEbrahimji,92922276
AlisonKIRO7,146250468
alisonkent,7292772
AlisonStarling7,787969735
AlissaHenryTV,14574189
AlissaReitmeier,432936617
AllenWest,237403203
alliemackay,28037631
AllisonWSOC9,308800630
ARodriguezABC15,255801799
AllisonRosati,202674763
alyseeadyFOX5,168216285
abc7alysha,22154062
NASABlueberry,2273731460
AlyssaOrange,23065599
fox46amanda,3379120845
AmandaGuerraTX,169534973
Amanda_Venegas,22945816
AmberJayFOX19,863618551
AmberLeeNews,15686484
AmberCOBrien,974024119
RupintaABC11,44099900
anandambika,197748902
Amelia__Earhart,133484445
amyphotochicago,48347769
AmyAndrewsFOX2,131293090
ABC7AmyAubert,507613127
ClancyKIRO7,26109459
amy__hawley,30306325
amyhollyfield,43771134
AmyFox43,84690063
amysweezey,21703499
anabelaval,97469184
AnaCabrera,31565351
ericweisfeld,136832131
AndreAgassi,89112033
andrehepkins,19991186
AndreaCambern,18056236
AndreaGrymesTV,363124620
ISOMTV,275211261
andreafox10,41146746
AndreaTantaros,36452050
AndrewWSYX6,874246926
AndrewNBC12,49957245
andrewfreund,35316765
AndrewWJTV,1931014284
WKYCAndrewH,219084863
AndrewLocal4,11254702
andrewginther,258851325
WhitmanAndrew,230065732
AngelaKOAT,99356094
AngelaChenFOX26,15771895
AngelaDavisWCCO,117097951
angelaganote,46118082
AKochergaBorder,15846022
AngelicaKATU,22866687
angiemartinez,18783665
AnitaPadilla32,29426372
ANITAROMANFOX10,917233862
anjelahjohnson,30822306
AnnMarieLaFlamm,42900861
AnnVoskamp,66812365
Anna_Canzano,22960837
ALaurelABC11,69024398
AnnaSaccone,15925193
ABC7Annalysa,147618542
anneeliseparks,72177152
AnneImanuel,50719126
AnneMcNamara,19324057
AMGreenCBS,228377172
annie_sabo,1270923698
ADiLorenzoTV,193766629
AnthonyABC7,2329573819
anthonyponceTV,313352881
AnthonyNBCLA,337748422
antoinetteA,28164582
AntwanLewisTV,1655496085
aprildovorany,1259417400
foxonfox,23815330
Araksya,46185434
arishapiro,37999041
ariannahuff,21982720
Ariel_Plasencia,541169315
montelongo,14248093
ArtRasconABC13,310373765
AshleeBaracy,29547807
TVAshleigh,299790272
AshleighNBC5,161007251
AshleighWalters,117406876
AshleyBatey,105262046
ashblackstone,29301265
AshleyD_WTAE,23018144
ajoneson7,2424366906
AshleyKorslien,104959693
ashstro,24962256
AshleyYore,2807718670
AshlieWTAE,71043032
AshtonCBS4,18656101
astridtv1,510665427
AstroKarenN,1299995892
AustinKSWO,747856279369039872
ABC7Autria,161298188
Luvvie,16254381
AyanaHarry,100349032
CIARAWTKR,55349055
fox46barbara,44801473
BarbieBassettTV,21936738
barrabest,228874251
BeauBishop,19316413
beckyditchfield,60685222
Belen_DeLeon,720362760
BelindaKARE11,857002556
ben_aaron,134844598
BenLocal4,2319123949
BenBradleyTV,123584688
BenWSYX6,862067606
benhoover,47756355
benshapiro,17995040
benlwilliamson,209215779
TheBenderNation,19769562
BenjiManTV,269193299
BethAlexanderTV,2209636542
BDPonte11,1242279716
Betty_Nguyen,16529278
BiancaNBC5,232606648
Bianca__Rae,33792228
Big_Budah,45475746
BillAFox29,15225605
BillBellis,317970353
Evansweather,22762908
BillHemmer,21010214
BillFOX46,1071585991
billritter7,18770777
BillWeirCNN,33515703
BillWixey,22100007
billzwecker,64784661
BillieJeanTV,2266705999
BillyGardell,2321532673
BlairMillerTV,19651222
BlakeWSOC9,19554094
BlazeRipCity,1434016513
barnardfox5dc,48937174
BobBreckFOX8,248826162
bobbydtv,34126592
bobkellytraffic,479944064
bobwsyx6,87525622
BobNBC4,27863698
BobNBC,97232237
bobschieffer,18776942
BobSegallWTHR,379472193
BobbieThomas,29439701
BobbyJindal,17078632
BonnieBernstein,129276705
BonnieWeather,20682357
BorisJohnson,3131144855
ABC7Brad,57071314
tvbrad,24276699
BradNitzWSB,48741440
BradTravisWAFF,331200887
bhamiltonTV,430203410
bhherring,153402684
BrendaBraxton8,582101054
BrendaWoodWXIA,726741530
BreneBrown,14717311
BrentBozell,20243128
solomonreports,15369691
TheBrettAnthony,27665097
abc7briwinkler,398875833
TheBigBashonFox,143854708
BrianBrennanTV,69165576
BrianCurtisNBC5,195959366
kilmeade,43919633
BMacTV,18696568
BrianMininger,70388173
BShieldsWFTV,394240920
wraltraffic,24161284
brian4NY,22000141
ABC7Brian,177583181
brikeilarcnn,46817943
bridgetshanahan,22028966
bblakelyFox46,718827319
Brien21Alive,177292689
Brittany10TV,2926061494
BrittanyBWAPT,84250783
BrittanyonTV,397566318
BrittneyWSOC9,234628403
BrittneyPayton,23451574
BrodyOConnell,251878533
BrookeBCNN,49204865
BrooksKHOU,28857255
BrooksWSYX6,31171238
BruceBeck4NY,239563902
BruceKatzFOX8,126088162
forecastupdates,29515141
TWCBryan,349785521
Bryant10TV,3166184667
ByronBrown12,46275610
ByronKOAT,23146721
CSKeysShow,142521776
CabotNBC4,15461851
CaitilinPIO,44539484
Local24Caitlin,92338086
caitlinrothfox5,443262847
CameronFontana,17603754
candacedfox45,33899327
DallasDirtCandy,6803492
CandiceNBC12,2768807890
ShuttleCDRKelly,65707359
cardinalcowboy,60459949
CaribeDevine,309943074
parkertwc,24687699
abc7carlos,34652440
CarlyFMorgan,355500732
CarolCNN,126629610
reporter6,21955705
carolsbargeWSB,131200503
YogiCarole,30520698
FountainFox46,282289244
CarolineLoweTV,21865402
ccliffordwxyz,122474769
CostelloNews,40937824
ctylerabc7,55392827
carrieduncanwx,124609050
CarrieLazarus,187183233
CaryAllenKCBD,3084976785
CaseyWeather,29980664
cassidygard,17034631
CassidyQuinn,25216470
catgreenleaf,76026640
CathyMarshall8,605863003
ABrovelli,348922209
CBS58Drew,541162915
jessicatighe,45575817
MarshannaHester,20177350
SarahBarwacz,887211000
szirinsky,21774546
ChadNBC2,179533138
BaileysBlast,2588114288
Charlienews,36129461
WFAAcharlotte,906788125
amandafreitag,67132107
ChefGruel,2839374404
BurtonABC7,906719864
cherylcasone,112283476
CMcHenryWHIO,2892445031
coachoncall,22145732
EElwellWHIO,19941431
gflickinger,352347676
chitakhou,209622149
ChrisAllenSkywx,17131327
Cimino4NY,19192178
ChrisCuomo,22799750
ChrisDunnWX,1639071332
cegertKSTP,24244581
ChrisGNBCBoston,411023941
ChrisHolcomb,27247176
Chris11Alive,178189726
chrishurstwdbj,195039753
ChrisHushNBC,612004228
ChrisJustusWYFF,325776508
KATVChris,3235506217
ChrisJustusWYFF,325776508
ChrisLarsonWBTV,2667259495
clawrencenbc,85282028
LegerosKIRO7,32493115
ChrisMayKATV,17165077
McGinnessPDX,625208925
YOURWEATHERMAN,131991482
ChrisMurphyTV,467981289
RealChrisPowell,179706126
TheChrisStipes,347861114
ChrisVanVliet,21343127
TWCChrisWarren,28947018
ChristiB93,34353551
Christi_Paul,300893304
Christina_Loren,27875238
cdino22,18066800
ChristinaParkTV,26642790
ChristinaKTLA,45014284
abc7christina,730730424
cjones,13573332
CPitawanichKGW,330201208
ChristineRomans,16329199
CHeathWFTV,321082871
ChristopherSign,16228272
ChuckBell4,266709857
ChuckGoudieABC7,19921113
HsuTV,2235438997
CJNitkowski,24871090
Claire_Kellett,18087649
ClariceFox4,39581440
claywsyx6,54426873
ClayBMiller,25281660
ClaytonMorris,14331688
ClothesAgain,117520701
CoachLaMonte,17454706
MsCoCoDominguez,22593330
CodyAlcorn,37307384
ColeenHarryWBTV,792624284
abc7coleen,374806739
OfficialCBC,233783568
TeamIssa,63650107
jasoninthehouse,17800215
RepTrentFranks,24773493
conniecolla,185781582
contessabrewer,16456599
CWTCarrs,4150227981
coreymcpherrin,87784776
CortneyHall,18611191
MediaMaven9,189193348
CoryMarshallTV,237528012
CoryFOX10,3366432754
Stinziano,109496754
CourtneyABC13,3654490475
CourtneyNBC5,31251306
CBSCourtney,32410054
courtyuen,2370679285
tmj4courtny,587805681
COYOTEPETERSON,21587681
CraigLucie,40886429
craigmelvin,33972882
CraigSetzer,292650377
cstevenson7,61277489
craigtreadwaytv,334554659
craigrwall,105258238
crystalNBCLA,187972757
abc7curt,81962245
CYNNEFOX5,47760251
CynthiaNewsome,287341538
DahnaCreative,83060431
abc7dallas,398878381
DamaliFox26,473115252
danbharris,18638502
DanHellie,16320734
DanLewisNews,564136445
danpearlman,202419464
DanPonceTV,185859198
DanTilkinKOIN6,829815882
FOX35danajay,350513063
dsplacko,211242561
DanellaNow,26394126
d_stew,20102516
DTGoteraKHOU,117676882
DanielWDSU,349675857
DaniellaNBCLA,38860524
DanielleBanksTV,443015183
DanielleBreezy,22822771
DanielleEliasTV,164299225
NelKoleniak,357534835
DanielleLerner,22168688
DannerEvans,61332777
abc7danny,398877566
DarbyKHOU,257423331
DariAlexander,222177780
DarlaMiles7,389606376
DarrellIssa,22509548
abc7darsha,574991670
DaveHolmesTV,27277775
DaveHWSB,25377866
DKinchenFOX29,17825817
abc7davekunz,430192253
rexroth7wxyz,176617047
SaleskyKATU,42718177
AuthorDavidBach,20795899
David_Culver,52612881
DavidEarlLive,140980387
DavidFinfrock,2847023699
davidhamseattle,164549024
DKaplanWTAE,3428105331
DavidNBC4,921419174
davidmurphy6abc,246732771
DavidNovarro7,402794026
abc7davidono,105241361
DavidPaulKHOU,380959351
DavidMyNBC5,574120635
RepDavid,229197216
DavidFox46,2233711129
DavidSpuntCBS3,530844560
DavidWhisenant,486557687
DWilkinsonCNN,83453988
DavidZylaStyle,62932548
DawnHasbrouck,47815479
DaynaDevon,24784574
DeanOrnishMD,73224714
DeanRichards,17050876
DebKnappKATU,22993076
DeborahNBC5,21681351
DeborahKIRO7,178228740
dkafoury,39190013
debtakahara,168304304
DebraAlfarone,18577789
_DebDenise,466707860
fox2deena,189832643
deliangoncalves,139856067
DIvory_WGN,41614373
abc7denise,355661298
DennisBounds87,22082983
DennisWelshFox,1099723478
dkevrafox2,630499555
mcgintyman,16246426
derickwallerTV,144031017
DerrickWard4,265969984
DerwinLGray,41858108
WJZDevin,72734966
DevinScillian,22280208
DianaWilliamsNY,28729277
dianehenderiks,49507614
dianermacedo,53419987
pathieuabc7,834557988
diannaESPN,117189498
DinaBairWGN,480693219
DionLimWTSP,249862904
DontayeCarter,307456949
DottieHerman,16688006
DougDelonyKHOU,381596239
abc7Doug,174288971
DrChrisNorthrup,114807372
DrErnieWard,15595996
DrGregForbes,442870573
DrJimFox26,14592079
DrLucyJones,2417085025
DrewCarney,30032601
dustinFox47,2209227506
ItsEdytheK,1596433080
abc7eileen,17821402
EileenParkTV,508191783
ABC7EileenW,46766020
abc7elex,23825303
WXwithELITA,204437454
ElizabethFox32,27801824
enoreikaTV,52324807
abc7ellen,1091032231
EllenTailor,24159639
accuElliot,226957287
CBSLAElsa,20634119
ElyceK,37740481
ElyseFOX45Now,863589853
EmilyAkinFOX26,467781327
EmilyDishnow,184652431
emilyrau,24468364
EmilySinovic,20246675
emmajade12news,22852915
EricBurrisWESH,22571485
ericfisher,168912732
WOWKeric,3393102237
EricHorngABC7,69678987
EricJohnsonKOMO,803395992
PerkatPlay,25688332
EricTTung,14448173
ericarico93Q,196139446
ErickWeber,18634843
Erik_Elken,21876037
ErikTygerKPLC,3236344192
ErikaFerrandoTV,304540756
ErikaWCVB,92958361
ErinWSYX6,2742130146
ErinFirstAlert,1447543141
ErinColemanTV,362118621
Erin_Ivory_,348467845
EFMoriarty,15741208
erinmyers,19478147
erinpickensWAPT,188783480
ErinWx,163660638
ErnieAnastos,65466174
EssexKIRO7,35356736
eunyangnbc,233933608
EvanWFitzgerald,83969858
EvanKruegel,1873080416
EvHolmesAbc7,2893719234
EvelynTaft,33712206
ScottLight10TV,33534381
FARNOOSH,14467969
MichaelPfleger,325891927
FeliciaFOX46,3956561195
NYCFirstLady,37074061
foodbeast,17382260
foodgasmguy,133844839
AnjuliDavis,308622211
EvanAxelbank,47866178
HaleyHinds,31574317
ScottSmithTV,57169965
ShaylaFOX13,29570564
RuffesFOX13,574891498
Fox26Mike,404059812
ian_leonard,16929450
jamesaydelott,20557363
BenWalnick,2382420608
MichaelSeger,14791386
FRANKSKI,20521879
Franklin_Graham,44945327
FBlankenshipWSB,274202514
FredWCNC,614797247
FWhitfield,282695074
Gabe4ny,140580807
GABESPIEGEL,28236290
gabrielarana,15403392
gailsimmons,21915666
wxgarrett,19044396
GarrettHaake,47991586
5NEWSGarrett,532584818
GaryEllerson,570127093
GaryKIRO7,142134365
glezak,176603549
garyfox5dc,2293115563
gaynor_hall,436266441
gzchef,164122774
georgekiriyama,14732530
georgeplevesque,240371075
abc7george,362704645
georgesmithtv,3152687758
GeorgetteESQ,34713731
GerriWillisFBN,54900089
WLKYGianna,1329785576
GigiStoneTV,396175465
GinaKCTV5,185718097
Ginger_Zee,84194879
Moviegino,573032440
ginovicci,50186518
GioAndJones,2951274893
GioBenitez,22408312
GLewisWXYZ,40770886
GLewisWXYZ,40770886
GlennBurnsWSB,415797205
Glenn10TV,107444645
Momastery,67647597
gordongee,24164958
NYGovCuomo,232268199
GovRauner,2862555526
GovChristie,90484508
dougducey,20217019
onetoughnerd,113036476
grahamelliot,18791048
GrahamKIRO7,32636643
grant_gilmore,189232480
granthpaulsen,24391041
gregadaline,1378150424
DutraWeather,15728098
GrooganFox26,582094342
GregHurstKHOU,500391848
gregkellyfox5,44385628
abc7greg,32666018
GWarmothWFTV,249105428
GreggHersholt,22942739
GretchenCarlson,1487846678
gretchenrubin,14289835
newsGuy760,20506396
GuyLambertNews,346560437
gwenfox5dc,1911186420
HalaGorani,25333609
HaleyClawsonWx,466147209
HallieJackson,37590426
HannahONews,128801909
HCSOTexas,1115569892
HARRISFAULKNER,18313747
HarrisonNBC4,752624221172404224
HarveyWCVB,278173042
KDKAHeather,378513932
HeatherCatallo,93956767
HeatherHegedus,379194587
HeatherKTVU,1327837267
heatherorourke7,950890789
HeatherNBC12,20785755
HeidiMurkoff,179083387
HenryKIRO7,44192285
HilaryKennedy,15680571
HILLARY_MINTZ,488380976
holliesmiles,52034135
HollyLiveFox5DC,1725864385
hollyrilinger,14424278
hbwx,63149389
ChefHKeller,1117876604
Huelfox2,35098990
NBCian,41538528
idasiegal4ny,32782018
IGDCofficial,3298055858
IndraPetersons,312314261
InternJohnRadio,34239734
IrisABC15,994017068
chef_morimoto,190592520
IvoryHecker,78964894
jpdice_Fox6,17784896
jacelarson,18373162
JackDiamondShow,27866269
jackiedetore,22591468
JackieJohnsonLA,27178513
KHOUJackie,73716638
jquynhreports,129836379
JacquiJerasTV,21875245
abc7jade,395213284
jaketapper,14529929
jamesfordtv,20951281
funniestmanusa,292876958
JamesFOX45Now,1259987694
spann,15220806
JamieBollWBTV,327461294
JHolmesWFTV,447994591
JamieKaler,19600747
JamieQ13FOX,37978773
JWilsonreporter,1507805833
janjeffcoat,24167813
JanaiNormanTV,218647820
RealJanePauley,784096713053204480
JVM,39605560
janellewang,33830333
JaniceDean,111400999
JaredDillingham,32733098
JasonCarrTV,1239620390
jasoninthehouse,17800215
JasonNBCBoston,41729421
jasonjwilde,18964685
KnowlesABC7,16910090
JNNewtWBAL,17323546
JasonNweather,22847203
JasonOliveiraTV,282273168
simpsonwhnt,17439820
Jay_WAFB,40863682
ABC7Jay,63191700
JeanChatzky,18452614
nbcjeanelle,499532691
ABC7Jeff,27601711
JeffKIRO7,2570935531
jeffglor,41662642
Herndon32,21269193
JeffHogan10TV,19321965
JeffPassoltFOX9,1656011574
JenCarfagno,34903365
JenFrenchKOB,473436689
JenHatmaker,56596677
KREMjen,283293114
JennFredFOX29,44933687
JennaFox46,2327498808
JennaDinCLT,33254205
JennaHanchardK5,600992035
jenantkowiak,17014401
JBellamyTV,237367122
jennbisramtv,412549497
JenniferBroome,93306677
JenniferNBC4,4878583121
CrockettWDSU,2654064560
JenniferKielman,314779845
JennLahmers,160022929
news8jennifer,84689022
JenniferProfitt,221823738
JenRobertsNC,50652224
JennyDayTV,106871141
jeremyeisenzopf,138795228
JeremyHubbard,96699263
JRogalskiKHOU,377450833
JerodNBC4,14363660
Jerry10TV,19081254
jerrytaft,14078599
JesseKIRO7,2790369001
JessAguirreNBC,1268237648
donofrioABC7,575693884
jessicamreyes,216252276
Jstarrfox2,240234721
JillNicolini,21096570
TheRealeDeal,27302376
JillSimonian,219408508
JimCantore,21388284
jimdolan7,38197780
JimDuncanNBC12,97116752
Jim_Gardner,15898362
JimHandly,252681042
JimHeathTV,24091188
NYCinvestigates,56692110
jimsciutto,22129280
jimvance4,267912413
JoanLunden,20064866
JoanieLum,211264632
JoannaKIRO7,23445277
wxyzjpurtan,21757508
CBS58Jocelyne,331213033
JoDeeKenney,139228764
jodiewsb,70414365
RealSheriffJoe,44951059
Jbastianich,45828719
joebkgw,508112079
joeclair,31621681
pdxpeacock,19638248
JoeMurgo,42476618
JoeTalkShow,19737700
JoeKENS5,31019595
JoeRoetz,23033763
Joe_Stowell,217835912
joeterrell,19617094
JoelBrownABC11,157506702
joey3harrington,704890209675120640
joeysulipeck,23649923
JohnBerman,20522862
JohnCarterWBTV,125970786
JohnDawsonFox26,567696090
JohnDonnFOX26,575422517
JohnElliottTV,1969455858
JohnGarciaABC7,15488295
abc7johngregory,1623554539
JohnHoltNews,368540082
JohnHookfox10,1370567137
JohnJessupCBN,183212100
KnicelyKIRO7,43971852
JohnLeguizamo,34487135
JohnLomaxWKRC12,1468101146
JNolanWX,267170943
jpweather,111577681
JPaulWSOC9,1074990068
JohnRobisonKCBD,3085004867
JohnSnellFox8,207274913
JohnWaggoner,29300726
JohnnyIuzzini,147668753
_jonkelley,419659300
JonScottFNC,316580588
JonShirek,16385451
TVreporter,24065160
abc7jonathan,165105136
JonVigliotti,30688696
JordanLive5,2172711745
JoseGrinanFOX26,472156260
JoshKKTV,357597523
JoshEiniger7,389582305
JoshWeather,15872923
JoshPoland01,176888443
PDPIOJosh,85662642
abc7jovana,526641040
JovitaMoore,21656599
JoyNBCBoston,33166794
JoyceGarbaciak,1055548392
JoyceTaylorKING,37504289
NewsJuan,257087249
judefox10,34763028
DraftTheJudge16,989825148
JudiGatson,15985390
JudyHsuABC7,890987028
JuliaFello,38515532
juliabachison,17136234
JulieBanovic,16796839
juliebologna1,758449486762872832
JulieChang,39779068
JulieDurda,1314153752
KIRO7Julie,24207116
JulieGrantEsq,1389961118
KTVUJulieHaener,1416737641
juliemartin,169171481
JulieNelsonKARE,115513883
