screen_name	id	description	url
Harold_CEDA	732254800973201408	President & CEO of one of the nation's largest, private nonprofit Community Action Agency. Motivational & public speaker on leadership & business turnarounds.	http://twitter.com/Harold_CEDA
LamarSmithTX21	15856366	I represent the 21st District of TX in Congress and Chair the Science, Space, and Technology Committee. Join me: https://t.co/mIljMWAOmi	http://twitter.com/LamarSmithTX21
keithandjaclyn1	2772603976	Lafamilia. Cigars. Sports.	http://twitter.com/keithandjaclyn1
RegularRon	16146117	Catholic, Crime Think, Elitist, Man of Leisure, Cigars, Nats, Arsenal, Napoli. Yes I am a pirate, two hundred years too late	http://twitter.com/RegularRon
ProfHacker	60462205	http://t.co/kuppVHsEt9: Tips, tutorials, and commentary on pedagogy, productivity, and technology in higher education.	http://twitter.com/ProfHacker
rightaenlr	1624986289	musician, New truck driver, Conservative,  Broke	http://twitter.com/rightaenlr
BachParker	11689302	Bach v2.99 beta - From Montana. Twin Cities resident for 10 yrs. Travel aficionado. Marketer. IG @bachparker. The words are off, but they don't feel that wrong.	http://twitter.com/BachParker
grahamcouzens	43156555	I @BELIEVEinSOCIAL- offering scalable HUMAN Social Media Solutions for Agencies and Brands- @OhioState Alum #BuckeyeForLife	http://twitter.com/grahamcouzens
iceykal	43683261	Hustler	http://twitter.com/iceykal
mateoluciano	29789822	Volunteer Observationalist	http://twitter.com/mateoluciano
KaitlenSwag	2311087159	just raising awareness	http://twitter.com/KaitlenSwag
DAVESPIELER	593635481	This is David Spieler, better Known as Captain Dave, Representing the Captain Dave's Wrestling Network.	http://twitter.com/DAVESPIELER
BereanoPartners	75327299	Digital Transformation   Social Business Marketing   Data Driven Marketing   Cloud Infrastructure   Mobile Data   Mobile Marketing & App Store Promotions	http://twitter.com/BereanoPartners
BeckettSimms	3223139146	SVH'18 Bleed Green and Gold💚💛 click the link below ⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️	http://twitter.com/BeckettSimms
jmillion	819126	Musician, Progressive Radio contributor, stalker of cats on the interwebs. Member of #HSRPM Family.	http://twitter.com/jmillion
Katiesfitness	41239470	Do or do not. There is no try - Yoda	http://twitter.com/Katiesfitness
jewelryandmore2	1217930322	We produce high-quality silver and semi-precious jewelry. Designs are up-to-date that are in line with the current jewelry trends.	http://twitter.com/jewelryandmore2
serialfeeder	1583240862	Chief Operating Officer-Threesquare Food Bank. Hunger is a man made issue that can be solved. Its up to all of us to work together. What role will you play?	http://twitter.com/serialfeeder
InternetLaw	14729695	Prof. Michael Scott, Southwestern Law School, L.A.. Also check @LawProf @CopyrightLaw @PrivacyLaw	http://twitter.com/InternetLaw
MikeMcCartney7	305208218	Christ-follower who loves his wife, 4 children & football. Former #NFL Pro Scouting Director blessed to rep great people. All opinions strictly my own.	http://twitter.com/MikeMcCartney7
karajhansen	22663578	Volunteer @SuperThank, formerly @LOreporter and @NoCallTooSmall	http://twitter.com/karajhansen
JBeonTheHill	36787598	Founder/President of the eponymous Joe Browne Agency	http://twitter.com/JBeonTheHill
